episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
533,744,64,358,358,0,70.727858,93739
534,160,16,183,183,0,70.882427,93922
535,1412,128,996,996,0,71.73217,94918
536,660,64,640,640,0,72.268834,95558
537,368,32,456,456,0,72.658937,96014
538,1400,128,942,942,0,73.46179,96956
539,932,64,719,719,0,74.094059,97675
540,1180,128,1411,1411,0,75.421325,99086
541,648,64,967,967,0,76.632737,100053
542,1652,128,2031,2031,0,78.385906,102084
543,1400,128,1836,1836,0,79.957424,103920
544,272,32,279,279,0,80.1973,104199
545,604,64,974,974,0,81.025149,105173
546,540,64,756,756,0,81.682884,105929
547,624,64,977,977,0,82.527133,106906
548,688,64,979,979,0,83.48008,107885
549,612,64,572,572,0,83.999254,108457
550,1168,128,1580,1580,0,85.455516,110037
551,620,64,805,805,0,86.193813,110842
552,608,64,890,890,0,87.022026,111732
553,316,32,605,605,0,87.555973,112337
554,436,32,966,966,0,88.404719,113303
555,1156,128,1347,1347,0,89.592638,114650
556,1376,128,1443,1443,0,90.878408,116093
557,632,64,684,684,0,91.4924,116777
558,784,64,1126,1126,0,92.502781,117903
559,884,64,1300,1300,0,93.646597,119203
560,828,64,1376,1376,0,94.860868,120579
561,1160,128,1443,1443,0,96.128022,122022
562,864,64,1411,1411,0,97.419293,123433
563,824,64,1203,1203,0,98.544147,124636
564,1192,128,1555,1555,0,99.989516,126191
565,612,64,675,675,0,100.612287,126866
566,320,32,513,513,0,101.080393,127379
567,980,128,882,882,0,101.895529,128261
568,440,32,728,728,0,102.560009,128989
569,572,64,1177,1177,0,103.656997,130166
570,1400,128,1159,1159,0,104.675441,131325
571,576,64,872,872,0,105.426779,132197
572,680,64,748,748,0,106.071095,132945
573,1336,128,1888,1888,0,107.692877,134833
574,584,64,710,710,0,108.29945,135543
575,380,32,899,899,0,109.07585,136442
576,956,64,1619,1619,0,110.466159,138061
577,1436,128,2188,2188,0,112.359071,140249
578,1492,128,1825,1825,0,113.944697,142074
579,488,64,585,585,0,114.463899,142659
580,628,64,1178,1178,0,115.549678,143837
581,692,64,884,884,0,116.390628,144721
582,608,64,737,737,0,117.07885,145458
583,508,64,596,596,0,117.630448,146054
584,1340,128,1871,1871,0,119.370497,147925
585,688,64,733,733,0,120.064358,148658
586,308,32,298,298,0,120.33845,148956
587,600,64,650,650,0,120.927817,149606
588,856,64,939,939,0,122.190074,150545
589,420,32,860,860,0,123.004542,151405
590,580,64,1137,1137,0,124.067964,152542
591,1360,128,1335,1335,0,125.339517,153877
592,1068,128,1501,1501,0,126.75531,155378
593,660,64,583,583,0,127.309074,155961
594,972,128,1100,1100,0,128.322434,157061
595,328,32,283,283,0,128.575464,157344
596,816,64,1029,1029,0,129.520751,158373
597,620,64,925,925,0,130.37635,159298
598,280,32,287,287,0,130.636695,159585
599,1180,128,1268,1268,0,131.813208,160853
600,468,64,736,736,0,132.481345,161589
601,220,16,355,355,0,132.801265,161944
602,804,64,1366,1366,0,134.012113,163310
603,968,128,1188,1188,0,135.044848,164498
604,292,32,581,581,0,135.561587,165079
605,1416,128,1553,1553,0,136.922551,166632
606,316,32,550,550,0,137.397903,167182
607,316,32,626,626,0,137.939964,167808
608,1084,128,1116,1116,0,138.923459,168924
609,248,32,338,338,0,139.218696,169262
610,852,64,815,815,0,139.942094,170077
611,520,32,509,509,0,140.409906,170586
612,176,16,279,279,0,140.667282,170865
613,504,64,892,892,0,141.492721,171757
614,276,32,235,235,0,141.709566,171992
615,740,64,689,689,0,142.344793,172681
616,712,64,699,699,0,142.988579,173380
617,316,32,489,489,0,143.435426,173869
618,576,64,468,468,0,143.866083,174337
619,268,16,460,460,0,144.296255,174797
620,396,32,605,605,0,144.852904,175402
621,1056,128,1200,1200,0,145.955485,176602
622,768,64,916,916,0,146.816915,177518
